player_id,team,total_distance_m,avg_speed_kmh,ball_possession_frames
1,1,55.99,6.46,2
3,1,76.27,8.77,36
4,1,0.0,0.0,0
5,2,71.79,8.29,17
6,2,64.88,7.48,45
7,1,52.88,6.99,72
8,1,53.44,7.92,7
9,2,0.0,0.0,0
10,1,0.0,0.0,0
11,2,58.91,6.93,45
12,2,70.39,8.73,25
13,1,0.0,0.0,31
14,1,64.7,7.44,0
15,2,64.65,7.86,3
16,2,35.1,12.46,0
18,2,2.25,12.98,0
19,2,31.82,6.8,16
20,1,0.0,0.0,0
22,2,17.99,10.09,10
26,1,0.0,0.0,0
28,2,0.0,0.0,0
34,1,58.94,7.85,0
81,1,0.0,0.0,0
91,1,9.84,6.55,146
117,1,0.0,0.0,0
120,1,23.32,7.45,2
132,2,46.66,10.91,3
134,1,0.0,0.0,8
142,2,36.17,9.28,0
156,1,11.47,9.42,10
197,2,0.0,0.0,0
213,1,0.0,0.0,28
227,2,0.0,0.0,5
236,1,1.94,3.73,7
243,2,0.0,0.0,0
247,2,0.0,0.0,0
252,1,0.0,0.0,0
259,1,0.0,0.0,0
270,2,0.0,0.0,0
